precio,duracion vuelo,aerolinea,duracion estancia
8313,5h 00m,Aeroméxico,4 dias
16046,10h 25m,Aeroméxico,10 dias
2591,2h 55m,Air Europa,10 dias
2504,2h 30m,Air Europa,3 dias
13996,7h 00m,Emirates,7 dias
5668,4h 30m,Aeroméxico,8 dias
28261,6h 35m,Aeroméxico,15 dias
5028,2h 00m,Aerolíneas Argentinas,24 dias
32578,10h 10m,KLM,14 dias
4160,4h 30m,Viva Air,7 dias
11523,5h 35m,Aeroméxico,13 dias
23213,14h 55m,Aeroméxico,17 dias
12641,2h 25m,Air Europa,4 dias
6342,1h 37m,Air Canada,8 dias
20711,12h 00m,British Airways,4 dias
4527,1h 20m,Air France,9 dias
14661,6h 50m,Emirates,7 dias
22421,3h 18m,American Airlines,18 dias
12912,1h 09m,Copa Airlines,7 dias
46377,12h 20m,United Airlines,N/A dias
20063,3h 22m,American Airlines,26 dias
11890,6h 20m,Avianca Airlines,9 dias
6505,2h 20m,Aerolineas Argentinas,12 dias
33529,12h 00m,Air Europa,16 dias
